grid_label,output
UIBCCDB,N
UIBCCCC,AN
UIADDDB,AN
UIADDBD,AN
UIBCCAC,AN
UIBCCCB,AN
UIBCCDA,AN
UIBCCBD,AN
UIBCCBC,N
UIBCCBB,N
UIBCCDD,AN
UIBCCDC,AN
UIBCCCD,AN
UIDAAAB,AN
UIDAAAA,AN
UIDAAAD,AN
UIDACCB,AN
UIDACCD,AN
UIDCAAB,AN
UIDCAAA,AN
UIDCABA,AN
UIDCABC,AN
UIDCABD,AN
UIDCBAC,AN
UIDCBAD,AN
UIDCBBC,AN
UIDCBDA,AN
UIDCBDB,AN
UIDDACA,AN
UIDDACB,AN
UIDDADA,AN
UIDDADB,AN
UIDDBCA,AN
UIDDBCC,AN
UIDDDAA,AN
UIDDDAC,AN
UIDDDAD,AN
UIDDDCB,AN
UIDDDCD,AN
UIDDDDC,AN
TIBBBBA,AN
TIBBBBB,AN
TIBBBBD,AN
TIBBBDB,AN
TIBBBDD,AN
TIBBDBB,AN
TIBBDBD,AN
TIBBDBC,AN
TIBBDDA,AN
TIBBDCB,AN
TIBBDCD,AN
TIBBDDC,AN
TIBDBBA,AN
TIBDBAD,AN
TIBDBCB,AN
TIBDBCD,AN
TIBDDAB,AN
TIBDDAD,AN
TIBDDCB,AN
TIBDDCD,AN
TIBDDDC,AN
TIDBBBA,AN
TIDBBBC,AN
TJCCAAD,N
TJCCDCC,N
SKDABBA,AN
SKDABBB,AN
SKDBAAA,AN
SKDBAAB,AN
SKDBBAB,AN
RNDCCCB,AN
RNDCCAD,AN
RNCDBBC,AN
RLBADCD,N
RLBADCB,N
RLBADCA,N
RLBACDB,N
UIDAABB,AN
UICDBDB,AN
UICDBDD,AN
UIDCCAA,AN
TIBABAA,N
TIBAABB,N
TIBAABC,N
TIBAABA,N
TIBAAAD,N
UIDCCDC,AN
UIDCCCB,AN
UIDCCAD,AN
UIDCCAB,AN
UIDCACC,AN
UIDCACA,AN
UIDCAAC,AN
UIBCCAD,AN
UIBCCAB,AN
UIBCACD,AN
UIBCADC,AN
UIBCACC,AN
UIADBDD,AN
UIADDBA,AN
UIADDAB,AN
UIADDAA,AN
UIADDAC,AN
UIADCBD,AN
UIADCBC,AN
UIADCDA,AN
UIADCCB,AN
UIADCCD,AN
UIADCCC,AN
UICABBB,AN
UICABBA,AN
UICABBC,AN
UICABAD,AN
UICABAC,AN
UICABCA,AN
UICAADB,AN
UICAADD,AN
UICAADC,AN
UICACBA,AN
UICACBC,AN
UICACDA,AN
UICACDC,AN
UICCABA,AN
UICCAAB,AN
UICCAAD,AN
UICCAAC,AN
UICCAAA,AN
UHDDBBD,AN
UICBABD,AN
UICBABC,AN
UICBADA,AN
UICBACB,AN
UICBACA,AN
UICABDB,AN
UIBCDAC,N
UIBCBAB,AN
UIBCBBA,AN
UIBADDC,AN
UIBADDD,AN
UIBCBAA,AN
UIBCBAC,AN
UIBCBAD,AN
UIBCBCB,AN
UIBCBCD,AN
UIBCDAA,AN
UIBCADD,N
UICBAAA,AN
UIADDBB,AN
UIBCDCC,N
UIDABAA,N
UIDABAC,N
UIDABCA,N
UIDAABD,N
UIDAADB,N
UIDAADD,N
UIDACAC,N
UICBDBD,N
UIDACAA,N
UIDACAB,AN
UIDACBA,AN
UICABBD,AN
UICBBCC,AN
UICBADD,AN
UICBADB,AN
UIBCCCA,N
UIBCBBC,AN
UIBCBDA,AN
UIBCBDB,AN
UIBCBBD,AN
UIBDAAC,AN
UIBDAAD,AN
UIBDABC,AN
UIBDABD,AN
UIBDBAC,AN
UIBDBAD,AN
UIBDBBC,AN
UIBDBBD,AN
UIBDBBB,AN
UJACAAA,AN
UJACAAB,AN
UJACABA,AN
UJACABB,AN
UJACBAA,AN
UJACBAB,AN
UJAADCD,AN
UJAADDC,AN
UJAADDA,AN
UJAADDB,AN
UJAADBD,AN
UJABCAC,AN
VJCDCAC,AN
VJCACDC,AN
VJCACDA,AN
VJCACDB,N
VJCACDD,N
VJCCABA,AN
VJCCABD,AN
VJCCADB,AN
VJCCBCA,AN
VJCCBCD,AN
VJCCBDC,AN
VJCCBDD,AN
VJCCDBB,AN
VJCDCAA,AN
VJCDCCA,AN
VJCDCCC,AN
UJABAAA,AN
UJABAAC,AN
UJAABBD,AN
UJABACA,AN
UJABACC,AN
UJABACD,AN
UJABCAB,AN
UJABCAA,AN
TIDBBDD,AN
TIDBDBB,AN
TIDBDBA,AN
TIDBDBD,AN
TIDBDDB,AN
TJCACCA,AN
TJCACCC,AN
TJCCAAB,AN
TJCCABC,AN
TJCCADA,AN
TJCCADB,AN
TJCCADD,AN
TJCCCBB,AN
TJCCCBD,AN
TJCCDAC,AN
TJCCDCA,AN
TJCCDCD,AN
SJAABAB,AN
SJAABBA,AN
SJAABBC,AN
SJAABBD,AN
SJAABDB,AN
SJABACA,AN
SJABACC,AN
SJABCAA,AN
SJABCAB,AN
SJABCAD,AN
SJABCCB,AN
SJABCDA,AN
SJABCDB,AN
SJABCDD,AN
SJABDCC,AN
SJABDCD,AN
SJABDDC,AN
SJABDDD,AN
SJBACCC,AN
SJBACCD,AN
SJBCAAB,AN
SJBCABA,AN
SJBCABB,AN
SJBCABD,AN
SJBCBAC,AN
SJBCBAD,AN
SJBCBCB,AN
SJBCBDA,AN
SJBCBDB,AN
SJBDACA,AN
SJBDACB,AN
SJBDADA,AN
SJBDADB,AN
SJBDBCA,AN
SJBDBCB,AN
SJBDBDA,AN
SJBDBDB,AN
SKACACA,AN
SKACAAC,AN
SKACAAD,AN
SKACABC,AN
SKACABD,AN
SKACBAC,AN
SKACBAD,AN
SKACBBC,AN
SKACBBD,AN
SKADAAC,AN
SKADACA,AN
SKADACB,AN
SKADACD,AN
SKADADC,AN
SKADCBA,AN
SKADCBB,AN
SKADDAC,AN
SKADDAD,AN
SKADDCB,AN
SKADDDA,AN
SKADDDB,AN
SKADDDD,AN
SKBCCCC,AN
SKDAAAA,AN
SKDAAAB,AN
SKDAABA,AN
SKDAABC,AN
SKDAABD,AN
SKDABAC,AN
SKBDCDD,AN
RLCBCBA,AN
RLCBCAB,AN
RLCBCAC,AN
RLCBCCC,AN
RLCBCBD,N
RLCBDAC,N
TIBBAAB,AN
UIDDCCC,AN
UIDCDDD,AN
UIDCDDC,AN
TIBABBA,AN
TIBABAD,AN
TIBABAC,AN
UIDCCAC,AN
UICDDBB,AN
UIDACBB,AN
UIDADAA,AN
UIDADAC,AN
UIDADAD,AN
UIADDDD,N
VLCCACA,N
VLCCAAC,N
VLCCAAD,N
VKDDBDB,N
VKDDBDD,N
VKDDDBB,N
VLCCAAB,AN
VLCCABA,AN
VLCACDC,AN
UIDABCC,AN
UIDADAB,AN
UIDADBA,AN
UIDABDC,AN
UIDABDA,AN
UIDABBC,AN
UIDABBA,AN
UIBCDDC,AN
UIBCDCD,AN
TJADBBD,N
TJABDDD,N
UKCCCBD,AN
UKCCCBC,AN
UKCCCDA,AN
UKCCCCB,AN
UKCCCCC,AN
UKCCCCD,AN
OQDDBCA,AN
OQDDBBC,AN
OQDDBBD,AN
ORCCAAC,AN
ORCCAAA,AN
ORCACCC,AN
ORCACCD,AN
ORCACDC,AN
ORCACDA,AN
ORCACDB,AN
ORCDCAA,N
ORCDCAC,N
UIBCDAD,AN
UIBCDAB,AN
UIBCDBA,AN
UIBCDBB,AN
UIBDCAA,AN
UIBDCAB,AN
UIBDCBA,AN
UIBDCBC,AN
UIBDCBD,AN
UIBDDAC,AN
UIBCDCA,N
UHDADDA,N
UHDADDC,N
UHDADCD,N
UHDADCB,N
UICAABC,AN
UIBCADA,AN
UIBCACB,AN
UIBCABC,AN
UIBCABD,AN
UIBCBCA,AN
UICBBBB,N
UJABBAB,N
UJABBAA,N
UJBCBBB,N
UJBADDD,N
ULBBBBD,N
ULBBBBC,N
ULBBBBA,N
VLCDDBB,AN
UKBABDB,AN
UKABDCD,AN
UJBDCCD,AN
UJDBAAA,AN
